,Consumo_estimado,Fonte,Potência_Instalada,Potência_painel,area_modulos,n_modulos,peso_sistema,preco_max,preco_min
37,470kWh,NeoSolar,3.64 kWp,280.0,25.48,13.0,345.77,24021.63,19290.1
38,480kWh,NeoSolar,3.73 kWp,266.42857142857144,26.08,14.0,354.0,24593.57,19749.38
39,490kWh,NeoSolar,3.81 kWp,272.14285714285717,26.69,14.0,362.23,25165.52,20208.67
40,500kWh,NeoSolar,3.90 kWp,278.57142857142856,27.3,14.0,370.46,25737.46,20667.96
41,510kWh,NeoSolar,3.99 kWp,285.0,27.9,14.0,378.7,26309.4,21127.25
42,520kWh,NeoSolar,4.07 kWp,271.33333333333337,28.51,15.0,386.93,26881.35,21586.54
43,530kWh,NeoSolar,4.16 kWp,277.3333333333333,29.12,15.0,395.16,27453.29,22045.82
44,540kWh,NeoSolar,4.25 kWp,283.3333333333333,29.72,15.0,403.39,28025.23,22505.11
45,550kWh,NeoSolar,4.33 kWp,270.625,30.33,16.0,411.63,28597.18,22964.4
46,560kWh,NeoSolar,4.42 kWp,276.25,30.94,16.0,419.86,29169.12,23423.69
47,570kWh,NeoSolar,4.51 kWp,281.875,31.54,16.0,428.09,29741.07,23882.98
48,580kWh,NeoSolar,4.59 kWp,270.0,32.15,17.0,436.32,30313.01,24342.26
49,590kWh,NeoSolar,4.68 kWp,275.29411764705884,32.76,17.0,444.56,30884.95,24801.55
50,600kWh,NeoSolar,4.77 kWp,280.5882352941176,33.36,17.0,452.79,31456.9,25260.84
51,610kWh,NeoSolar,4.85 kWp,269.44444444444446,33.97,18.0,461.02,32028.84,25720.13
52,620kWh,NeoSolar,4.94 kWp,274.44444444444446,34.58,18.0,469.25,32600.78,26179.42
53,630kWh,NeoSolar,5.03 kWp,279.44444444444446,35.18,18.0,477.49,30157.02,23623.0
54,640kWh,NeoSolar,5.11 kWp,268.94736842105266,35.79,19.0,485.72,30676.97,24030.3
55,650kWh,NeoSolar,5.20 kWp,273.6842105263158,36.4,19.0,493.95,31196.92,24437.59
56,660kWh,NeoSolar,5.29 kWp,278.42105263157896,37.0,19.0,502.18,31716.87,24844.88
57,670kWh,NeoSolar,5.37 kWp,268.5,37.61,20.0,510.42,32236.82,25252.18
58,680kWh,NeoSolar,5.46 kWp,273.0,38.22,20.0,518.65,32756.77,25659.47
59,690kWh,NeoSolar,5.55 kWp,277.5,38.82,20.0,526.88,33276.72,26066.76
60,700kWh,NeoSolar,5.63 kWp,281.5,39.43,20.0,535.11,33796.67,26474.05
61,710kWh,NeoSolar,5.72 kWp,272.3809523809524,40.04,21.0,543.35,34316.61,26881.35
62,720kWh,NeoSolar,5.81 kWp,276.6666666666667,40.64,21.0,551.58,34836.56,27288.64
63,730kWh,NeoSolar,5.89 kWp,280.4761904761905,41.25,21.0,559.81,35356.51,27695.93
64,740kWh,NeoSolar,5.98 kWp,271.8181818181818,41.86,22.0,568.04,35876.46,28103.23
65,750kWh,NeoSolar,6.07 kWp,275.90909090909093,42.46,22.0,576.28,36396.41,28510.52
66,760kWh,NeoSolar,6.15 kWp,279.54545454545456,43.07,22.0,584.51,36916.36,28917.81
67,770kWh,NeoSolar,6.24 kWp,271.30434782608694,43.68,23.0,592.74,37436.31,29325.11
68,780kWh,NeoSolar,6.33 kWp,275.2173913043478,44.28,23.0,600.97,37956.25,29732.4
69,790kWh,NeoSolar,6.41 kWp,278.69565217391306,44.89,23.0,609.21,38476.2,30139.69
70,800kWh,NeoSolar,6.50 kWp,270.8333333333333,45.5,24.0,617.44,38996.15,30546.99
71,810kWh,NeoSolar,6.59 kWp,274.5833333333333,46.1,24.0,625.67,39516.1,30954.28
72,820kWh,NeoSolar,6.67 kWp,277.9166666666667,46.71,24.0,633.9,40036.05,31361.57
73,830kWh,NeoSolar,6.76 kWp,270.4,47.32,25.0,642.14,40556.0,31768.87
74,840kWh,NeoSolar,6.85 kWp,274.0,47.92,25.0,650.37,41075.95,32176.16
75,850kWh,NeoSolar,6.93 kWp,277.2,48.53,25.0,658.6,41595.9,32583.45
76,860kWh,NeoSolar,7.02 kWp,270.0,49.14,26.0,666.83,42115.84,32990.74
77,870kWh,NeoSolar,7.11 kWp,273.46153846153845,49.74,26.0,675.07,42635.79,33398.04
78,880kWh,NeoSolar,7.19 kWp,276.53846153846155,50.35,26.0,683.3,43155.74,33805.33
79,890kWh,NeoSolar,7.28 kWp,280.0,50.95,26.0,691.53,43675.69,34212.62
80,900kWh,NeoSolar,7.37 kWp,272.962962962963,51.56,27.0,699.76,44195.64,34619.92
81,910kWh,NeoSolar,7.45 kWp,275.9259259259259,52.17,27.0,708.0,44715.59,35027.21
82,920kWh,NeoSolar,7.54 kWp,279.25925925925924,52.77,27.0,716.23,45235.54,35434.5
83,930kWh,NeoSolar,7.63 kWp,272.5,53.38,28.0,724.46,45755.49,35841.8
84,940kWh,NeoSolar,7.71 kWp,275.35714285714283,53.99,28.0,732.69,46275.43,36249.09
85,950kWh,NeoSolar,7.80 kWp,278.57142857142856,54.59,28.0,740.93,46795.38,36656.38
86,960kWh,NeoSolar,7.89 kWp,272.0689655172414,55.2,29.0,749.16,47315.33,37063.68
87,970kWh,NeoSolar,7.97 kWp,274.82758620689657,55.81,29.0,757.39,47835.28,37470.97
88,980kWh,NeoSolar,8.06 kWp,277.93103448275866,56.41,29.0,765.62,48355.23,37878.26
89,990kWh,NeoSolar,8.15 kWp,271.6666666666667,57.02,30.0,773.86,48875.18,38285.56
90,1.000kWh,NeoSolar,8.23 kWp,274.3333333333333,57.63,30.0,782.09,49395.13,38692.85
91,1.010kWh,NeoSolar,8.32 kWp,277.3333333333333,58.23,30.0,790.32,49915.08,39100.14
92,1.020kWh,NeoSolar,8.41 kWp,271.2903225806452,58.84,31.0,798.55,50435.02,39507.44
93,1.030kWh,NeoSolar,8.49 kWp,273.8709677419355,59.45,31.0,806.79,50954.97,39914.73
94,1.040kWh,NeoSolar,8.58 kWp,276.7741935483871,60.05,31.0,815.02,51474.92,40322.02
95,1.050kWh,NeoSolar,8.67 kWp,270.9375,60.66,32.0,823.25,51994.87,40729.31
96,1.060kWh,NeoSolar,8.75 kWp,273.4375,61.27,32.0,831.48,52514.82,41136.61
97,1.070kWh,NeoSolar,8.84 kWp,276.25,61.87,32.0,839.72,53034.77,41543.9
98,1.080kWh,NeoSolar,8.93 kWp,279.0625,62.48,32.0,847.95,53554.72,41951.19
99,1.090kWh,NeoSolar,9.01 kWp,273.030303030303,63.09,33.0,856.18,54074.66,42358.49
100,1.100kWh,NeoSolar,9.10 kWp,275.75757575757575,63.69,33.0,864.41,54594.61,42765.78
101,1.110kWh,NeoSolar,9.19 kWp,278.4848484848485,64.3,33.0,872.65,55114.56,43173.07
102,1.120kWh,NeoSolar,9.27 kWp,272.6470588235294,64.91,34.0,880.88,55634.51,43580.37
103,1.130kWh,NeoSolar,9.36 kWp,275.29411764705884,65.51,34.0,889.11,56154.46,43987.66
104,1.140kWh,NeoSolar,9.45 kWp,277.94117647058823,66.12,34.0,897.34,56674.41,44394.95
105,1.150kWh,NeoSolar,9.53 kWp,272.2857142857143,66.73,35.0,905.58,57194.36,44802.25
106,1.160kWh,NeoSolar,9.62 kWp,274.85714285714283,67.33,35.0,913.81,57714.31,45209.54
107,1.170kWh,NeoSolar,9.71 kWp,277.42857142857144,67.94,35.0,922.04,58234.25,45616.83
108,1.180kWh,NeoSolar,9.79 kWp,271.94444444444446,68.55,36.0,930.27,58754.2,46024.13
109,1.190kWh,NeoSolar,9.88 kWp,274.44444444444446,69.15,36.0,938.51,59274.15,46431.42
110,1.200kWh,NeoSolar,9.97 kWp,276.94444444444446,69.76,36.0,946.74,59794.1,46838.71
111,1.210kWh,NeoSolar,10.05 kWp,271.6216216216216,70.37,37.0,954.97,55287.88,45235.54
112,1.220kWh,NeoSolar,10.14 kWp,274.05405405405406,70.97,37.0,963.2,55764.5,45625.5
113,1.230kWh,NeoSolar,10.23 kWp,276.4864864864865,71.58,37.0,971.44,56241.12,46015.46
114,1.240kWh,NeoSolar,10.31 kWp,278.64864864864865,72.19,37.0,979.67,56717.74,46405.42
115,1.250kWh,NeoSolar,10.40 kWp,273.6842105263158,72.79,38.0,987.9,57194.36,46795.38
116,1.260kWh,NeoSolar,10.49 kWp,276.05263157894734,73.4,38.0,996.14,57670.98,47185.34
117,1.270kWh,NeoSolar,10.57 kWp,278.1578947368421,74.01,38.0,1004.37,58147.6,47575.31
118,1.280kWh,NeoSolar,10.66 kWp,273.3333333333333,74.61,39.0,1012.6,58624.22,47965.27
119,1.290kWh,NeoSolar,10.75 kWp,275.64102564102564,75.22,39.0,1020.83,59100.84,48355.23
120,1.300kWh,NeoSolar,10.83 kWp,277.6923076923077,75.83,39.0,1029.07,59577.46,48745.19
121,1.310kWh,NeoSolar,10.92 kWp,273.0,76.43,40.0,1037.3,60054.07,49135.15
122,1.320kWh,NeoSolar,11.01 kWp,275.25,77.04,40.0,1045.53,60530.69,49525.11
123,1.330kWh,NeoSolar,11.09 kWp,277.25,77.65,40.0,1053.76,61007.31,49915.08
124,1.340kWh,NeoSolar,11.18 kWp,272.6829268292683,78.25,41.0,1062.0,61483.93,50305.04
125,1.350kWh,NeoSolar,11.27 kWp,274.8780487804878,78.86,41.0,1070.23,61960.55,50695.0
126,1.360kWh,NeoSolar,11.35 kWp,276.8292682926829,79.47,41.0,1078.46,62437.17,51084.96
127,1.370kWh,NeoSolar,11.44 kWp,272.3809523809524,80.07,42.0,1086.69,62913.79,51474.92
128,1.380kWh,NeoSolar,11.53 kWp,274.5238095238095,80.68,42.0,1094.93,63390.41,51864.88
129,1.390kWh,NeoSolar,11.61 kWp,276.42857142857144,81.29,42.0,1103.16,63867.03,52254.84
130,1.400kWh,NeoSolar,11.70 kWp,272.09302325581393,81.89,43.0,1111.39,64343.65,52644.81
131,1.410kWh,NeoSolar,11.79 kWp,274.1860465116279,82.5,43.0,1119.62,64820.27,53034.77
132,1.420kWh,NeoSolar,11.87 kWp,276.04651162790697,83.11,43.0,1127.86,65296.89,53424.73
133,1.430kWh,NeoSolar,11.96 kWp,278.13953488372096,83.71,43.0,1136.09,65773.51,53814.69
134,1.440kWh,NeoSolar,12.05 kWp,273.8636363636364,84.32,44.0,1144.32,66250.13,54204.65
135,1.450kWh,NeoSolar,12.13 kWp,275.6818181818182,84.92,44.0,1152.55,66726.75,54594.61
136,1.460kWh,NeoSolar,12.22 kWp,277.72727272727275,85.53,44.0,1160.79,67203.37,54984.57
137,1.470kWh,NeoSolar,12.31 kWp,273.55555555555554,86.14,45.0,1169.02,67679.99,55374.54
138,1.480kWh,NeoSolar,12.39 kWp,275.3333333333333,86.74,45.0,1177.25,68156.61,55764.5
139,1.490kWh,NeoSolar,12.48 kWp,277.3333333333333,87.35,45.0,1185.48,68633.23,56154.46
140,1.500kWh,NeoSolar,12.57 kWp,273.2608695652174,87.96,46.0,1193.72,69109.85,56544.42
141,1.510kWh,NeoSolar,12.65 kWp,275.0,88.56,46.0,1201.95,69586.47,56934.38
142,1.520kWh,NeoSolar,12.74 kWp,276.95652173913044,89.17,46.0,1210.18,70063.09,57324.34
143,1.530kWh,NeoSolar,12.83 kWp,272.97872340425533,89.78,47.0,1218.41,70539.71,57714.31
144,1.540kWh,NeoSolar,12.91 kWp,274.6808510638298,90.38,47.0,1226.65,71016.33,58104.27
145,1.550kWh,NeoSolar,13.00 kWp,276.59574468085106,90.99,47.0,1234.88,71492.95,58494.23
146,1.560kWh,NeoSolar,13.09 kWp,272.7083333333333,91.6,48.0,1243.11,71969.57,58884.19
147,1.570kWh,NeoSolar,13.17 kWp,274.375,92.2,48.0,1251.34,72446.19,59274.15
148,1.580kWh,NeoSolar,13.26 kWp,276.25,92.81,48.0,1259.58,72922.8,59664.11
149,1.590kWh,NeoSolar,13.35 kWp,272.44897959183675,93.42,49.0,1267.81,73399.42,60054.07
150,1.600kWh,NeoSolar,13.43 kWp,274.0816326530612,94.02,49.0,1276.04,73876.04,60444.04
151,1.610kWh,NeoSolar,13.52 kWp,275.9183673469388,94.63,49.0,1284.27,74352.66,60834.0
152,1.620kWh,NeoSolar,13.61 kWp,277.7551020408163,95.24,49.0,1292.51,74829.28,61223.96
153,1.630kWh,NeoSolar,13.69 kWp,273.8,95.84,50.0,1300.74,75305.9,61613.92
154,1.640kWh,NeoSolar,13.78 kWp,275.6,96.45,50.0,1308.97,75782.52,62003.88
155,1.650kWh,NeoSolar,13.87 kWp,277.4,97.06,50.0,1317.2,76259.14,62393.84
156,1.660kWh,NeoSolar,13.95 kWp,273.52941176470586,97.66,51.0,1325.44,76735.76,62783.81
157,1.670kWh,NeoSolar,14.04 kWp,275.29411764705884,98.27,51.0,1333.67,77212.38,63173.77
158,1.680kWh,NeoSolar,14.13 kWp,277.05882352941177,98.88,51.0,1341.9,77689.0,63563.73
159,1.690kWh,NeoSolar,14.21 kWp,273.2692307692308,99.48,52.0,1350.13,78165.62,63953.69
160,1.700kWh,NeoSolar,14.30 kWp,275.0,100.09,52.0,1358.37,78642.24,64343.65
161,1.710kWh,NeoSolar,14.39 kWp,276.7307692307692,100.7,52.0,1366.6,79118.86,64733.61
162,1.720kWh,NeoSolar,14.47 kWp,273.0188679245283,101.3,53.0,1374.83,79595.48,65123.57
163,1.730kWh,NeoSolar,14.56 kWp,274.7169811320755,101.91,53.0,1383.06,80072.1,65513.54
164,1.740kWh,NeoSolar,14.65 kWp,276.41509433962267,102.52,53.0,1391.3,80548.72,65903.5
165,1.750kWh,NeoSolar,14.73 kWp,272.77777777777777,103.12,54.0,1399.53,81025.34,66293.46
166,1.760kWh,NeoSolar,14.82 kWp,274.44444444444446,103.73,54.0,1407.76,81501.96,66683.42
167,1.770kWh,NeoSolar,14.91 kWp,276.1111111111111,104.34,54.0,1415.99,81978.58,67073.38
168,1.780kWh,NeoSolar,14.99 kWp,272.54545454545456,104.94,55.0,1424.23,82455.2,67463.34
169,1.790kWh,NeoSolar,15.08 kWp,274.1818181818182,105.55,55.0,1432.46,82931.82,67853.31
170,1.800kWh,NeoSolar,15.17 kWp,275.8181818181818,106.16,55.0,1440.69,83408.44,68243.27
171,1.810kWh,NeoSolar,15.25 kWp,277.27272727272725,106.76,55.0,1448.92,83885.06,68633.23
172,1.820kWh,NeoSolar,15.34 kWp,273.92857142857144,107.37,56.0,1457.16,84361.68,69023.19
173,1.830kWh,NeoSolar,15.43 kWp,275.5357142857143,107.98,56.0,1465.39,84838.3,69413.15
174,1.840kWh,NeoSolar,15.51 kWp,276.9642857142857,108.58,56.0,1473.62,85314.92,69803.11
175,1.850kWh,NeoSolar,15.60 kWp,273.6842105263158,109.19,57.0,1481.85,85791.54,70193.07
176,1.860kWh,NeoSolar,15.69 kWp,275.2631578947368,109.8,57.0,1490.09,86268.15,70583.04
177,1.870kWh,NeoSolar,15.77 kWp,276.6666666666667,110.4,57.0,1498.32,86744.77,70973.0
178,1.880kWh,NeoSolar,15.86 kWp,273.44827586206895,111.01,58.0,1506.55,87221.39,71362.96
179,1.890kWh,NeoSolar,15.95 kWp,275.0,111.62,58.0,1514.78,87698.01,71752.92
180,1.900kWh,NeoSolar,16.03 kWp,276.3793103448276,112.22,58.0,1523.02,88174.63,72142.88
181,1.910kWh,NeoSolar,16.12 kWp,273.22033898305085,112.83,59.0,1531.25,88651.25,72532.84
182,1.920kWh,NeoSolar,16.21 kWp,274.7457627118644,113.44,59.0,1539.48,89127.87,72922.8
183,1.930kWh,NeoSolar,16.29 kWp,276.10169491525426,114.04,59.0,1547.71,89604.49,73312.77
184,1.940kWh,NeoSolar,16.38 kWp,272.99999999999994,114.65,60.0,1555.95,90081.11,73702.73
185,1.950kWh,NeoSolar,16.47 kWp,274.5,115.26,60.0,1564.18,90557.73,74092.69
186,1.960kWh,NeoSolar,16.55 kWp,275.8333333333333,115.86,60.0,1572.41,91034.35,74482.65
187,1.970kWh,NeoSolar,16.64 kWp,272.78688524590166,116.47,61.0,1580.64,91510.97,74872.61
188,1.980kWh,NeoSolar,16.73 kWp,274.26229508196724,117.08,61.0,1588.88,91987.59,75262.57
189,1.990kWh,NeoSolar,16.81 kWp,275.57377049180326,117.68,61.0,1597.11,92464.21,75652.54
190,2.000kWh,NeoSolar,16.90 kWp,277.04918032786884,118.29,61.0,1605.34,92940.83,76042.5
191,2.010kWh,NeoSolar,16.98 kWp,273.8709677419355,118.89,62.0,1613.57,93417.45,76432.46
192,2.020kWh,NeoSolar,17.07 kWp,275.3225806451613,119.5,62.0,1621.81,93894.07,76822.42
193,2.030kWh,NeoSolar,17.16 kWp,276.7741935483871,120.11,62.0,1630.04,94370.69,77212.38
194,2.040kWh,NeoSolar,17.24 kWp,273.6507936507937,120.71,63.0,1638.27,94847.31,77602.34
195,2.050kWh,NeoSolar,17.33 kWp,275.07936507936506,121.32,63.0,1646.5,95323.93,77992.3
196,2.060kWh,NeoSolar,17.42 kWp,276.5079365079365,121.93,63.0,1654.74,95800.55,78382.27
197,2.070kWh,NeoSolar,17.50 kWp,273.4375,122.53,64.0,1662.97,96277.17,78772.23
198,2.080kWh,NeoSolar,17.59 kWp,274.84375,123.14,64.0,1671.2,96753.79,79162.19
199,2.090kWh,NeoSolar,17.68 kWp,276.25,123.75,64.0,1679.43,97230.41,79552.15
200,2.100kWh,NeoSolar,17.76 kWp,273.2307692307692,124.35,65.0,1687.67,97707.03,79942.11
201,2.110kWh,NeoSolar,17.85 kWp,274.61538461538464,124.96,65.0,1695.9,98183.65,80332.07
202,2.120kWh,NeoSolar,17.94 kWp,276.0,125.57,65.0,1704.13,98660.27,80722.04
203,2.130kWh,NeoSolar,18.02 kWp,273.030303030303,126.17,66.0,1712.36,99136.89,81112.0
204,2.140kWh,NeoSolar,18.11 kWp,274.3939393939394,126.78,66.0,1720.6,99613.5,81501.96
205,2.150kWh,NeoSolar,18.20 kWp,275.75757575757575,127.39,66.0,1728.83,100090.12,81891.92
206,2.160kWh,NeoSolar,18.28 kWp,276.969696969697,127.99,66.0,1737.06,100566.74,82281.88
207,2.170kWh,NeoSolar,18.37 kWp,274.17910447761193,128.6,67.0,1745.29,101043.36,82671.84
208,2.180kWh,NeoSolar,18.46 kWp,275.5223880597015,129.21,67.0,1753.53,101519.98,83061.8
209,2.190kWh,NeoSolar,18.54 kWp,276.7164179104478,129.81,67.0,1761.76,101996.6,83451.77
210,2.200kWh,NeoSolar,18.63 kWp,273.97058823529414,130.42,68.0,1769.99,102473.22,83841.73
211,2.210kWh,NeoSolar,18.72 kWp,275.29411764705884,131.03,68.0,1778.22,102949.84,84231.69
212,2.220kWh,NeoSolar,18.80 kWp,276.47058823529414,131.63,68.0,1786.46,103426.46,84621.65
213,2.230kWh,NeoSolar,18.89 kWp,273.768115942029,132.24,69.0,1794.69,103903.08,85011.61
214,2.240kWh,NeoSolar,18.98 kWp,275.07246376811594,132.85,69.0,1802.92,104379.7,85401.57
215,2.250kWh,NeoSolar,19.06 kWp,276.231884057971,133.45,69.0,1811.15,104856.32,85791.54
216,2.260kWh,NeoSolar,19.15 kWp,273.57142857142856,134.06,70.0,1819.39,105332.94,86181.5
217,2.270kWh,NeoSolar,19.24 kWp,274.85714285714283,134.67,70.0,1827.62,105809.56,86571.46
218,2.280kWh,NeoSolar,19.32 kWp,276.0,135.27,70.0,1835.85,106286.18,86961.42
219,2.290kWh,NeoSolar,19.41 kWp,273.38028169014086,135.88,71.0,1844.08,106762.8,87351.38
220,2.300kWh,NeoSolar,19.50 kWp,274.6478873239437,136.49,71.0,1852.32,107239.42,87741.34
221,2.310kWh,NeoSolar,19.58 kWp,275.77464788732397,137.09,71.0,1860.55,107716.04,88131.3
222,2.320kWh,NeoSolar,19.67 kWp,273.19444444444446,137.7,72.0,1868.78,108192.66,88521.27
223,2.330kWh,NeoSolar,19.76 kWp,274.44444444444446,138.31,72.0,1877.01,108669.28,88911.23
224,2.340kWh,NeoSolar,19.84 kWp,275.55555555555554,138.91,72.0,1885.25,109145.9,89301.19
225,2.350kWh,NeoSolar,19.93 kWp,276.80555555555554,139.52,72.0,1893.48,109622.52,89691.15
226,2.360kWh,NeoSolar,20.02 kWp,274.24657534246575,140.13,73.0,1901.71,102091.93,82073.9
227,2.370kWh,NeoSolar,20.10 kWp,275.3424657534247,140.73,73.0,1909.94,102533.88,82429.2
228,2.380kWh,NeoSolar,20.19 kWp,276.5753424657534,141.34,73.0,1918.18,102975.84,82784.5
229,2.390kWh,NeoSolar,20.28 kWp,274.05405405405406,141.95,74.0,1926.41,103417.8,83139.8
230,2.400kWh,NeoSolar,20.36 kWp,275.13513513513516,142.55,74.0,1934.64,103859.75,83495.1
231,2.410kWh,NeoSolar,20.45 kWp,276.35135135135135,143.16,74.0,1942.87,104301.71,83850.39
232,2.420kWh,NeoSolar,20.54 kWp,273.8666666666667,143.77,75.0,1951.11,104743.67,84205.69
233,2.430kWh,NeoSolar,20.62 kWp,274.93333333333334,144.37,75.0,1959.34,105185.62,84560.99
234,2.440kWh,NeoSolar,20.71 kWp,276.1333333333333,144.98,75.0,1967.57,105627.58,84916.29
235,2.450kWh,NeoSolar,20.80 kWp,273.6842105263158,145.59,76.0,1975.81,106069.53,85271.59
236,2.460kWh,NeoSolar,20.88 kWp,274.7368421052632,146.19,76.0,1984.04,106511.49,85626.88
237,2.470kWh,NeoSolar,20.97 kWp,275.92105263157896,146.8,76.0,1992.27,106953.45,85982.18
238,2.480kWh,NeoSolar,21.06 kWp,273.5064935064935,147.41,77.0,2000.5,107395.4,86337.48
239,2.490kWh,NeoSolar,21.14 kWp,274.54545454545456,148.01,77.0,2008.74,107837.36,86692.78
240,2.500kWh,NeoSolar,21.23 kWp,275.7142857142857,148.62,77.0,2016.97,108279.32,87048.08
241,2.510kWh,NeoSolar,21.32 kWp,273.3333333333333,149.23,78.0,2025.2,108721.27,87403.38
242,2.520kWh,NeoSolar,21.40 kWp,274.35897435897436,149.83,78.0,2033.43,109163.23,87758.67
243,2.530kWh,NeoSolar,21.49 kWp,275.5128205128205,150.44,78.0,2041.67,109605.19,88113.97
244,2.540kWh,NeoSolar,21.58 kWp,276.6666666666667,151.05,78.0,2049.9,110047.14,88469.27
245,2.550kWh,NeoSolar,21.66 kWp,274.17721518987344,151.65,79.0,2058.13,110489.1,88824.57
246,2.560kWh,NeoSolar,21.75 kWp,275.3164556962025,152.26,79.0,2066.36,110931.05,89179.87
247,2.570kWh,NeoSolar,21.84 kWp,276.45569620253167,152.86,79.0,2074.6,111373.01,89535.17
248,2.580kWh,NeoSolar,21.92 kWp,274.0,153.47,80.0,2082.83,111814.97,89890.46
249,2.590kWh,NeoSolar,22.01 kWp,275.125,154.08,80.0,2091.06,112256.92,90245.76
250,2.600kWh,NeoSolar,22.10 kWp,276.25,154.68,80.0,2099.29,112698.88,90601.06
251,2.610kWh,NeoSolar,22.18 kWp,273.82716049382714,155.29,81.0,2107.53,113140.84,90956.36
252,2.620kWh,NeoSolar,22.27 kWp,274.9382716049383,155.9,81.0,2115.76,113582.79,91311.66
253,2.630kWh,NeoSolar,22.36 kWp,276.04938271604937,156.5,81.0,2123.99,114024.75,91666.96
254,2.640kWh,NeoSolar,22.44 kWp,273.6585365853659,157.11,82.0,2132.22,114466.71,92022.25
255,2.650kWh,NeoSolar,22.53 kWp,274.7560975609756,157.72,82.0,2140.46,114908.66,92377.55
256,2.660kWh,NeoSolar,22.62 kWp,275.8536585365854,158.32,82.0,2148.69,115350.62,92732.85
257,2.670kWh,NeoSolar,22.70 kWp,273.49397590361446,158.93,83.0,2156.92,115792.58,93088.15
258,2.680kWh,NeoSolar,22.79 kWp,274.578313253012,159.54,83.0,2165.15,116234.53,93443.45
259,2.690kWh,NeoSolar,22.88 kWp,275.66265060240966,160.14,83.0,2173.39,116676.49,93798.75
260,2.700kWh,NeoSolar,22.96 kWp,273.3333333333333,160.75,84.0,2181.62,117118.44,94154.04
261,2.710kWh,NeoSolar,23.05 kWp,274.4047619047619,161.36,84.0,2189.85,117560.4,94509.34
